"time","Out1","Out2","Out3","Out4"
0.559,0.849178,0.428219,0.475751,0
0.56,0.849684,0.428791,0.47675,0
0.561,0.850186,0.429362,0.477749,0
0.562,0.850687,0.429932,0.478748,0
0.563,0.851184,0.430502,0.479747,0
0.564,0.85168,0.431071,0.480746,0
0.565,0.852172,0.43164,0.481745,0
0.566,0.852663,0.432208,0.482744,0
0.567,0.853151,0.432775,0.483743,0
0.568,0.853636,0.433342,0.484742,0
0.569,0.854119,0.433909,0.485741,0
0.57,0.8546,0.434475,0.48674,0
0.571,0.855078,0.43504,0.48774,0
0.572,0.855554,0.435604,0.488739,0
0.573,0.856027,0.436169,0.489738,0
0.574,0.856498,0.436732,0.490737,0
0.575,0.856967,0.437295,0.491736,0
0.576,0.857433,0.437858,0.492735,0
0.577,0.857897,0.438419,0.493734,0
0.578,0.858358,0.438981,0.494734,0
0.579,0.858817,0.439541,0.495733,0
0.58,0.859273,0.440102,0.496732,0
0.581,0.859727,0.440661,0.497731,0
0.582,0.860179,0.44122,0.49873,0
0.583,0.860628,0.441779,0.49973,0
0.584,0.861075,0.442337,0.500729,0
0.585,0.86152,0.442894,0.501728,0
0.586,0.861962,0.443451,0.502727,0
0.587,0.862402,0.444007,0.503727,0
0.588,0.86284,0.444563,0.504726,0
0.589,0.863275,0.445118,0.505725,0
0.59,0.863707,0.445673,0.506724,0
0.591,0.864138,0.446227,0.507724,0
0.592,0.864566,0.44678,0.508723,0
0.593,0.864992,0.447333,0.509722,0
0.594,0.865415,0.447886,0.510722,0
0.595,0.865836,0.448437,0.511721,0
0.596,0.866255,0.448989,0.51272,0
0.597,0.866671,0.449539,0.51372,0
0.598,0.867085,0.45009,0.514719,0
0.599,0.867497,0.450639,0.515718,0
0.6,0.867906,0.451188,0.516718,0
0.601,0.868314,0.451737,0.517717,0
0.602,0.868718,0.452285,0.518716,0
0.603,0.869121,0.452832,0.519716,0
0.604,0.869521,0.453379,0.520715,0
0.605,0.869919,0.453926,0.521715,0
0.606,0.870315,0.454471,0.522714,0
0.607,0.870708,0.455017,0.523713,0
0.608,0.871099,0.455561,0.524713,0
0.609,0.871488,0.456106,0.525712,0
0.61,0.871874,0.456649,0.526712,0
0.611,0.872259,0.457192,0.527711,0
0.612,0.872641,0.457735,0.528711,0
0.613,0.87302,0.458277,0.52971,0
0.614,0.873398,0.458818,0.53071,0
0.615,0.873773,0.459359,0.531709,0
0.616,0.874146,0.459899,0.532709,0
0.617,0.874517,0.460439,0.533708,0
0.618,0.874885,0.460979,0.534708,0
0.619,0.875251,0.461517,0.535707,0
0.62,0.875615,0.462056,0.536707,0
0.621,0.875977,0.462593,0.537706,0
0.622,0.876336,0.46313,0.538706,0
0.623,0.876694,0.463667,0.539705,0
0.624,0.877049,0.464203,0.540705,0
0.625,0.877401,0.464739,0.541704,0
0.626,0.877752,0.465274,0.542704,0
0.627,0.8781,0.465808,0.543703,0
0.628,0.878447,0.466342,0.544703,0
0.629,0.878791,0.466875,0.545702,0
0.63,0.879132,0.467408,0.546702,0
0.631,0.879472,0.467941,0.547701,0
0.632,0.879809,0.468472,0.548701,0
0.633,0.880145,0.469004,0.549701,0
0.634,0.880478,0.469534,0.5507,0
0.635,0.880809,0.470065,0.5517,0
0.636,0.881137,0.470594,0.552699,0
0.637,0.881464,0.471123,0.553699,0
0.638,0.881788,0.471652,0.554699,0
0.639,0.88211,0.47218,0.555698,0
0.64,0.88243,0.472708,0.556698,0
0.641,0.882748,0.473235,0.557697,0
0.642,0.883064,0.473761,0.558697,0
0.643,0.883377,0.474287,0.559697,0
0.644,0.883689,0.474813,0.560696,0
0.645,0.883998,0.475337,0.561696,0
0.646,0.884305,0.475862,0.562696,0
